[2024-04-18 12:30:09] [FINE   ] START EXECUTION
 
[2024-04-18 12:30:10] [FINE   ] START SCENARIO EXECUTION: Done unlocked 
[2024-04-18 12:30:30] [FINE   ] Device: Google sdk_gphone64_x86_64 
[2024-04-18 12:30:30] [FINE   ] Platform: Android 12 
[2024-04-18 12:30:30] [FINE   ] API Level: 31
 
[2024-04-18 12:30:30] [FINE   ] START SCENARIO EXECUTION: Done unlocked 
[2024-04-18 12:30:30] [FINE   ] START SCENARIO EXECUTION: Done unlocked 
[2024-04-18 12:30:30] [FINE   ] START SCENARIO EXECUTION: Settings displayed 
[2024-04-18 12:30:32] [FINE   ] END EXECUTION
 
